
============================================================
Sheet: 清风抽纸
============================================================
                      0        1   2                                                                                          3
53  2025-11-06 11:13:42                   暖阳  文字                                                                                                                  保质期长，又买了1单总共3单
54  2025-11-06 11:16:17                  养乐多  文字                                                                                                        碗收到了，花色太美了[爱心]超喜欢，摸着很有厚度
55  2025-11-06 11:18:54                  洋娃娃  文字                                                                                             豪士上次刚给孩子在超市里买二十多，好吃的[哇]这个里边的馅料爆浆，挺好
56  2025-11-06 11:23:07                 糖裹布丁  文字                                                                                                                       群里很便宜买了3箱
57  2025-11-06 11:25:52             佛系的悟空零41  文字                                姐姐们，刚刚看到有很多姐姐在问0元购，咱们这款豪士乳酸菌面包是💰9.9一箱420g哦，不是0元哈\n\n有显示0元的姐姐是因为使用了先用后付，就是货到付款哈，姐姐们有需要的话也可以使用的哈❗❗
58  2025-11-06 11:28:37                  摸摸头  文字                                                                                                   懂的懂的，我就是用的先用后付，到货了签收就会扣款的[偷笑]
59  2025-11-06 11:30:47                  豆芽儿  文字                                                                                                       买了3单，豪士面包[社会社会]早餐配牛奶省时又省力
60  2025-11-06 11:32:22                蜡笔小心心  文字                                                                                                            群主能否在发个链接，刚下班回来看[捂脸]
61  2025-11-06 11:36:23             佛系的悟空零41  文字  [色]俩字：好吃！！！\n豪士乳 酸 菌面包420克 💰9.9亓\n-\n⭕点击：https://c-01.cn/uxU7HN\n-\n保质期3个月！！！全部近期生产！！！大家放心囤[得意]\n要说谁家料多，那必须是豪士面包！好吃到根本停不下来[得意]
62  2025-11-06 11:37:46             佛系的悟空零41  文字                                                              💥【豪士乳 酸 菌面包】连接帮大家搬下来了晚来的抓紧去❗❗\n\n乳 酸 菌夹心，一口爆浆hhh，奶香味浓郁，酸酸甜甜的，不腻[色]
63  2025-11-06 11:41:38                 似水流年  文字                                                                                                                           谢谢已拍到
64  2025-11-06 11:42:31                 似水流年  文字                                                                                                     这个很好吃，奶香味足，不会很甜 小包装一口一个[偷笑]
65  2025-11-06 11:51:17                咕噜咕噜锤  文字                                                                                                                            已拍面包
66  2025-11-06 12:02:09  wxid_p94ipa71qeja22  文字                                                                                                             这面包早上拿一个当早餐是极好的[呲牙]
67  2025-11-06 12:08:03             佛系的悟空零41  文字  [色]俩字：好吃！！！\n豪士乳 酸 菌面包420克 💰9.9亓\n-\n⭕点击：https://c-01.cn/uxU7HN\n-\n保质期3个月！！！全部近期生产！！！大家放心囤[得意]\n要说谁家料多，那必须是豪士面包！好吃到根本停不下来[得意]
68  2025-11-06 12:09:09             佛系的悟空零41  文字                                                                                          🛑不会帕的姐姐们【看上方教程视频👆操作】\n🔥【限购3単】可反复多拍‼冲冲冲
69  2025-11-06 12:17:21  wxid_t8nztoc5h4l922  文字                                                                                                           [偷笑]对于吃货来说一单怎么够吃，买了两单
70  2025-11-06 12:36:01  wxid_w91ermh9x7b622  文字                                                                                                                              已拍
71  2025-11-06 12:54:46                 随心所欲  文字                                                                                                                     这个是真好吃，买了三箱
72  2025-11-06 12:55:40                 随心所欲  文字                                                                                                                 比我以前自己买便宜多了[呲牙]
73  2025-11-06 13:12:34                林西西很棒  文字                                                                                                                          小面包没抢到
74  2025-11-06 13:13:46             佛系的悟空零41  文字                                                                                          ❌【豪士乳酸菌面包】呛完了，晚来的朋友别去点了，置顶关注群，以免错过[拥抱]
75  2025-11-06 13:15:16                林西西很棒  文字                                                                                                                  [快哭了][苦涩]真是手慢无
76  2025-11-06 13:19:01                    暖  文字                                                                                                我定了闹钟回来抢的[偷笑]我的群还多，给置顶上了，方便我抢哈哈哈
77  2025-11-06 13:28:36                 三分淑女  文字                                                                               洗衣液超级好用！两款清洗液泡泡丰富，味道久而不散，碗也很好看不像是小摊贩买的那种质量的[强][强]
78  2025-11-06 13:29:31                 三分淑女  文字                                                                                                             姐妹你闹钟也可以定一下，我就是[偷笑]

============================================================
Sheet: 洗衣机清洁凝珠
============================================================
                      0                    1   2                                                                                                                                              3
0                    时间                  发送人  类型                                                                                                                                             内容
1   2025-11-07 10:16:14             E佛系的悟空04  文字                                                                                                                           有姐姐们和我一样遇到过这种情况吗[尴尬]
2   2025-11-07 10:17:09             E佛系的悟空04  文字                                                                                                           扒开了我家洗衣机那个橡胶圈圈看了一眼…..（满是污垢，黑乎乎的~[晕]）
3   2025-11-07 10:17:58             E佛系的悟空04  文字                                                                                                                   而且蕞近洗完的衣服都有黑点点..一穿就痒痒的[裂开]！！
4   2025-11-07 10:18:37                    暖  文字                                                                                                                              我家洗衣机都经常清洗，以前也是这样
5   2025-11-07 10:19:42                 夹心饼干  文字                                                                                                                       没仔细观察，家里洗衣机基本没洗，但是看着不会脏啊
6   2025-11-07 10:20:58  wxid_p94ipa71qeja22  文字                                                                                                             清洗一下就不会这么觉得了，洗衣机的脏肉眼基本看不见，都在里面的缝隙里
7   2025-11-07 10:21:52  wxid_p94ipa71qeja22  文字                                                                                                                         我每个月都定时清理，清理完简直不敢想象那么脏
8   2025-11-07 10:22:45             E佛系的悟空04  文字                                                                                                         所以❗❗我必须！！立刻！！马上！！[加油]把这个好东西安利给你们！！[机智]
9   2025-11-07 10:23:57             E佛系的悟空04  文字                                                                                                            就这个！！【🔆晴天大白】洗衣机清洁剂！！我跟你说，好用想哭[强][强]
10  2025-11-07 10:24:52                 瑶瑶的瑶  文字                                                                                                                          我每次洗完衣服都得擦一遍橡胶圈[破涕为笑]
11  2025-11-07 10:25:47                 瑶瑶的瑶  文字                                                                                                         都得定时清理，不然排污口打开一下里面可能有硬币之类的[破涕为笑][破涕为笑]
12  2025-11-07 10:26:48  wxid_t8nztoc5h4l922  文字                                                                                                              你这么一说 我的洗衣机好像很久都没管它了 晚上回去看一眼[Emm]
13  2025-11-07 10:26:55                 随心所欲  文字                                                                                                                                   [强]这个可以，怎么用 
14  2025-11-07 10:28:03             E佛系的悟空04  文字                                                                                           ⭕关键用起来真的很方便❗❗\n\n一次丢2颗，放水让它转一会儿再泡个两小时，蕞后按日常模式走一遍[好的]
15  2025-11-07 10:28:50             E佛系的悟空04  文字                                                                                               然后！你就会看到——黑乎乎的脏水哗啦啦流出来，那叫一个治愈！ 感觉呼吸都顺畅了！[鼓掌][鼓掌]
16  2025-11-07 10:29:54             E佛系的悟空04  文字                                                                                                        嘿嘿~！还额外谈下了2颗试用装的专属福莉哦[礼物]（让姐姐们试试水~）[机智]
17  2025-11-07 10:30:23             E佛系的悟空04  文字                                                                                                        限购2箪❗\n限购2箪❗\n强烈安利[哇]一定要冲！速去，换呺可多囤[666]
18  2025-11-07 10:31:04                 三分淑女  文字                                                                                                                                        快上这个很需要
19  2025-11-07 10:31:07                林西西很棒  文字                                                                                                                                可以🈶，上链接[呲牙][呲牙]
20  2025-11-07 10:32:14             E佛系的悟空04  文字     🎉 悟空 大簰福`利 🎉\n-\n❤【晴天大白5D洗衣机清洁凝珠】除菌/除垢任选 \n💰19.9亓到手一桶12颗➕2颗试用装\n-\n🔗速呛：https://c-01.cn/LiYREB\n\n[抓狂][抓狂]赶紧的！给你家洗衣机也来个“深度SPA”！👉洗完衣服清香又安心！♥
21  2025-11-07 10:33:47              水汪汪的大眼睛  文字                                                                                                                                             已拍
22  2025-11-07 10:35:22                 星辰大海  文字                                                                                                                                           拍了2桶
23  2025-11-07 10:37:23  wxid_t8nztoc5h4l922  文字                                                                                                                                       拍到啦，好便宜哟
24  2025-11-07 10:39:52                林西西很棒  文字                                                                                                                           抢到了抢到了[憨笑][憨笑][强][强]
25  2025-11-07 10:42:09                 三分淑女  文字                                                                                                                    买了，洗衣机得清洗干净，不然洗出堆紫菜[捂脸][捂脸]
26  2025-11-07 10:46:14                 随心所欲  文字                                                                                                              悟空推荐的都很好的，上回买的洗衣液和内衣清洗液都很好用[耶][耶]
27  2025-11-07 10:48:31  wxid_bac1v3ye3jtk22  文字                                                                                                               我就说怎么这么眼熟呢，我抖音买了这款2桶69块9[发怒][发怒]
28  2025-11-07 10:50:02             E佛系的悟空04  文字                                                                                                  实拍！！！超市这款🔆晴天大白的洗衣机凝珠  贵❗  贵❗  贵❗  [惊恐]  要34一桶
29  2025-11-07 10:50:25             E佛系的悟空04  文字                                                                                                    今天悟空群内福利🎁  直接骨折 ！💥19.9 还额外送两颗试用装，不好用直接退[鼓掌]
30  2025-11-07 10:51:09             E佛系的悟空04  文字                                                                                                    另外！！！！我刚刚发现裙内很多姐姐都非常需要，我刚刚去和熵家争取了一下[加油][加油]
31  2025-11-07 10:52:42             E佛系的悟空04  文字                                                             我们今天不限购❗❗❗先要多帕的姐姐直接点击连接重复领取优惠卷去呛就可以了~~~\n\n冲冲冲姐姐们，特别是家里有小宝贝的，更需要清洁消毒，给姐姐们一个干净温暖的家🏠
32  2025-11-07 10:54:15                 星辰大海  文字                                                                                                                               给力悟空[强][强]我再去抢两单
33  2025-11-07 10:58:23                 瑶瑶的瑶  文字                                                                                                                                     已拍，期待效果[色]
34  2025-11-07 11:02:48                  发财喵  文字                                                                                             划算[强]悟空说了可以多帕，想买几桶买几桶，今天这个好啊，还这么划算，囤上，拍了五桶[坏笑][坏笑]
35  2025-11-07 11:10:45                  小刘佳  文字                                                                                                                                 直接丢里头，方便，两款都拍了
36  2025-11-07 11:20:08                    -  文字                                                                                                                                           链接在哪
37  2025-11-07 11:20:15             佛系的悟空零15  文字  @- 🎉 悟空 大簰福`利 🎉\n-\n❤【晴天大白5D洗衣机清洁凝珠】除菌/除垢任选 \n💰19.9亓到手一桶12颗➕2颗试用装\n-\n🔗速呛：https://c-01.cn/LiYREB\n\n[抓狂][抓狂]赶紧的！给你家洗衣机也来个“深度SPA”！👉洗完衣服清香又安心！♥
38  2025-11-07 11:23:46             E佛系的悟空04  文字                                                                                      【清洁凝珠不限购】家庭必备❗\n\n还很贴心的给姐姐们分了【除`菌`版】、【除`垢`版】[鼓掌]日常养护足够用了~
39  2025-11-07 11:24:11                  莎丽娜  文字                                                                                                                                      单缸洗衣机能用吗？
40  2025-11-07 11:24:30             佛系的悟空零15  文字                                                                                                                          @莎丽娜 能呀姐姐，这款是洗衣机通用的哦！
41  2025-11-07 11:24:42             E佛系的悟空04  文字                                                                                正在学习拍的朋友看上面视频教程[玫瑰]可以拍多 単❗❗\n\n特别是家里有小宝贝的，更需要清洁消毒，给姐姐们一个干净温暖的家🏠
42  2025-11-07 11:29:18                 逆光而行  文字                                                                                             我早就想买了，怕被骗，迟迟不敢买，现在不怕，有悟空[偷笑][偷笑]这几天的产品都很好，拍了，谢谢悟空
43  2025-11-07 11:34:33                    -  文字                                                                                                                              这个很好用，我上次在抖音上买五十几
44  2025-11-07 11:48:01                  摸摸头  文字                                                                                                      这个好用的洗完干净又香，抖音买贵了，今天这价真便宜[流泪][流泪]我买了6桶，囤着
45  2025-11-07 11:59:18                  养乐多  文字                                                                                                                               @佛系的悟空 波轮的洗衣机能用吗
46  2025-11-07 12:02:55                  摸摸头  文字                                                                                                                         可以用，我的就是，头回洗洗出来真的太恶心了🤢
47  2025-11-07 12:10:43             E佛系的悟空04  文字                                                                                                       使用方法放在这里啦~👆👆\n（不用拆洗洗衣机就能达到清洁效果❗很方便[666]）
48  2025-11-07 12:11:55                  养乐多  文字                                                                                                                                        期待效果[色]
49  2025-11-07 12:12:50                  养乐多  文字                                                                                                             等到货来个深度清洁，洗衣机一定要定时清洁，不然不卫生细菌都是看不见的
50  2025-11-07 12:18:55             E佛系的悟空04  文字                                                                                                                                🧐跟姐姐们啰嗦一个大实话！！！
51  2025-11-07 12:19:59             E佛系的悟空04  文字                                                                                                         这东西，就跟咱定期要清理热水壶里的水垢一样，洗衣机也得“搓个澡”啊！[机智]
52  2025-11-07 12:20:17             E佛系的悟空04  文字                                                                                                                        🔺尤其是家里有娃有宠物的，更得上心,注意❗❗❗
53  2025-11-07 12:20:54             E佛系的悟空04  文字     🎉 悟空 大簰福`利 🎉\n-\n❤【晴天大白5D洗衣机清洁凝珠】除菌/除垢任选 \n💰19.9亓到手一桶12颗➕2颗试用装\n-\n🔗速呛：https://c-01.cn/LiYREB\n\n[抓狂][抓狂]赶紧的！给你家洗衣机也来个“深度SPA”！👉洗完衣服清香又安心！♥
54  2025-11-07 12:21:58             E佛系的悟空04  文字                                                                                           支持试用姐姐们，放心大胆帕，回去用完不喜欢❗不满意❗没效果❗直接来找我，我给大家售后兜底[鼓掌]！！！！
55  2025-11-07 12:37:57  wxid_n3v1ypnpo6ax22  文字                                                                                                                划算[强]悟空总是能让我们花最少的钱享受最高品质的生活[咖啡]
56  2025-11-07 12:48:43  wxid_p94ipa71qeja22  文字                                                                                                                    真牛，前面买的 已经给我发货了[强]悟空这边效率杠杠的
57  2025-11-07 12:59:27             E佛系的悟空04  文字                                                                                                                  家里清洁“小帮手”不能少❗学会轻松偷懒哟~[坏笑][坏笑]
58  2025-11-07 13:00:04             E佛系的悟空04  文字                                                                                                               有它⬆省了叫上门清洁啰[坏笑]（一次一百多，銭包伤不起啊...）
59  2025-11-07 13:03:49                  刘亚晴  文字                                                                                                                      洗衣机清洁刚需买了已经，还能试用很放心[强][强]
60  2025-11-07 13:12:18                 丹妮丹妮  文字                                                                                                                                   晴天大白的产品好用[强]
61  2025-11-07 13:13:13                 丹妮丹妮  文字                                                                                                                             一直在用这个产品，我买的好贵[流泪]

============================================================
Sheet: 收纳框
============================================================
                      0                    1   2                                                                                                                 3
0                    时间                  发送人  类型                                                                                                                内容
1   2025-11-07 14:02:31             E佛系的悟空04  文字                                                                                        📣📣 家人们都在哪[玫瑰]快集合！撸个收纳神器！！！
2   2025-11-07 14:03:08                  养乐多  文字                                                                                                                来了
3   2025-11-07 14:03:12  wxid_n3v1ypnpo6ax22  文字                                                                                                           一直蹲着群消息
4   2025-11-07 14:03:32                  小幸运  文字                                                                                                       刚看手机，有啥好东西呀
5   2025-11-07 14:03:50                 瑶瑶的瑶  文字                                                                                                                来咯
6   2025-11-07 14:04:06                 丹妮丹妮  文字                                                                                                                 在
7   2025-11-07 14:05:28  wxid_okkyc9wwmua322  文字                                                                                                                来了
8   2025-11-07 14:06:08             E佛系的悟空04  文字                                                                                           这次的收纳箱，[666]质量简直就是顶~级貨！
9   2025-11-07 14:06:44             E佛系的悟空04  文字                                                            就这个！\n-\n急的我们家帅气的验貨小姐姐，[旺柴]昨晚夺.命连.环call让我一定要分.享出来给大家！！
10  2025-11-07 14:07:22  wxid_n3v1ypnpo6ax22  文字                                                                                                    这个好[鼓掌]收纳衣服很合适
11  2025-11-07 14:07:29                林西西很棒  文字                                                                                                           这个好 这个好
12  2025-11-07 14:07:33                  小幸运  文字                                                                                                              啥时候上
13  2025-11-07 14:08:22                咕噜咕噜锤  文字                                                                                                    我家就用这个收纳，整齐还能装
14  2025-11-07 14:09:17                咕噜咕噜锤  文字                                                                                                     正好有几个时间长了，该换了
15  2025-11-07 14:10:18  wxid_nsr6gr8a7uih22  文字                                                                                                         大不大？多少规格？
16  2025-11-07 14:12:51             E佛系的悟空04  文字                                                                                           ✅特大号47*28*20CM，可装28L衣物❗
17  2025-11-07 14:13:39             E佛系的悟空04  文字                                                                              收纳各种过季的🥼👖🩳衣服，四件套，🎁玩具，宝宝的衣服，杂物啥的都可以！！
18  2025-11-07 14:14:34  wxid_t8nztoc5h4l922  文字                                                                                                       看看价格咋样 刚准备买
19  2025-11-07 14:16:20             E佛系的悟空04  文字                                                                  好榀质👆👆看我们的测试视频都能看出来！！\n-\n懒.症姐妹的天菜！！想放啥就放啥~整洁又方便！
20  2025-11-07 14:16:58                 随心所欲  文字                                                                                                  快来链接，现在人少，好抢[偷笑]
21  2025-11-07 14:17:00              水汪汪的大眼睛  文字                                                                                                          还很不错大小刚好
22  2025-11-07 14:17:05                  刘亚晴  文字                                                                                                              多少钱呢
23  2025-11-07 14:18:04             E佛系的悟空04  文字                                                                                                  平时随便一个都要💰31.8亓！！
24  2025-11-07 14:18:47                 丹妮丹妮  文字                                                                                                     这个尺寸可以，衣橱正好放下
25  2025-11-07 14:20:20             E佛系的悟空04  文字                                                                 我们同样是钢.架➕pp底.板的支.撑，[抓狂]才5.9亓啊！！\n-\n怎么叠，叠多高都不会变形！
26  2025-11-07 14:20:55                 瑶瑶的瑶  文字                                                                                                    @佛系的悟空 能多拍几单吗？
27  2025-11-07 14:21:03                  养乐多  文字                                                                                                               上链接
28  2025-11-07 14:21:51             E佛系的悟空04  文字                                                                                        💥每个账皓是可以下五单的，这次可千万不要在错过了❗❗
29  2025-11-07 14:22:30                 瑶瑶的瑶  文字                                                                                                              好的👌🏻
30  2025-11-07 14:22:32  wxid_t8nztoc5h4l922  文字                                                                                                             等待上链接
31  2025-11-07 14:22:39  wxid_n3v1ypnpo6ax22  文字                                                                                                        那我多买几个[呲牙]
32  2025-11-07 14:24:15             E佛系的悟空04  文字  ✨悟空好物福~莉✨\n-\n✅【棉麻钢架收纳筐】1个  💰5.9亓！\n-\n[烟花]连接：https://c-01.cn/e4dXjB\n-\n每人都能帕5単，抓紧噜！防湿防潮还没甲.醛的，[抓狂]这个忦噜到就是..赚！！
33  2025-11-07 14:25:23             E佛系的悟空04  文字                                                                                           🛑不会帕收纳筐的小伙伴【看上方教程视频👆操作】
34  2025-11-07 14:29:21                林西西很棒  文字                                                                                                      刚好把夏天衣服全部收起来
35  2025-11-07 14:33:09                 瑶瑶的瑶  文字                                                                                                          已拍收纳筐，划算
36  2025-11-07 14:34:38                  刘亚晴  文字                                                                                                          买了四个，很划算
37  2025-11-07 14:35:18  wxid_okkyc9wwmua322  文字                                                                                                                已拍
38  2025-11-07 14:38:58                  养乐多  文字                                                                                                        拍到了，放裤子很方便
39  2025-11-07 14:44:01  wxid_t8nztoc5h4l922  文字                                                                                                拍了5个，太给力了，我以为要大几十块
40  2025-11-07 14:46:50                 糖裹布丁  文字                                                                                                      有驼奶吗，给我妈买来补补
41  2025-11-07 14:47:00             佛系的悟空零15  文字                                                                   @女汉子  哇姐姐派这么多，谢谢姐姐的支持，姐姐咱可以添加管家，方便后续有售后问题可以找她哦~
42  2025-11-07 14:50:15                   丽莎  文字                                                                                           我买了5单，好便宜，之前我买30块一个[流泪]
43  2025-11-07 14:51:42             E佛系的悟空04  文字                                                                      🛒 快呛【每个🍑账呺可帕5単】要多噜就换呺❗❗❗或者邀.家人朋友一起进来.薅！！快快快！
44  2025-11-07 14:52:19             E佛系的悟空04  文字                                                                       💵5.9一个❗一物多用，🥰无论是用来装衣服👚、玩具🧸还是杂物，都非常合适，整齐又美观💥
45  2025-11-07 14:54:54                一个大猩猩  文字                                                                                              我买了4个收纳方便，价格还那么美丽[强]
46  2025-11-07 15:03:33                 凌乱的美  文字                                                                                                        这个好用，容量也挺大
47  2025-11-07 15:09:04  wxid_nsr6gr8a7uih22  文字                                                                                                      把家里收纳筐都换了[色]
48  2025-11-07 15:13:11             E佛系的悟空04  文字                                                                                           ✅特大号47*28*20CM，可装28L衣物❗
49  2025-11-07 15:13:29             E佛系的悟空04  文字                                                                              收纳各种过季的🥼👖🩳衣服，四件套，🎁玩具，宝宝的衣服，杂物啥的都可以！！
50  2025-11-07 15:13:47             E佛系的悟空04  文字  ✨悟空好物福~莉✨\n-\n✅【棉麻钢架收纳筐】1个  💰5.9亓！\n-\n[烟花]连接：https://c-01.cn/e4dXjB\n-\n每人都能帕5単，抓紧噜！防湿防潮还没甲.醛的，[抓狂]这个忦噜到就是..赚！！
51  2025-11-07 15:16:34                  小幸运  文字                                                                                        刚好把家里的东西收纳一下，收纳好拿东西也方便[鼓掌]
52  2025-11-07 15:24:48                 随心所欲  文字                                                                                          买了五个，放衣柜里装内衣裤，袜子就不会那么凌乱了
53  2025-11-07 15:29:16                  发财喵  文字                                                                  我和我老公加起来买了十单，平时衣服叠好放衣柜里找一下一抽全部都乱了，还是需要这种收纳帮我整理一下
54  2025-11-07 15:30:17                  发财喵  文字                                                                                         价格才5.9，外面三个要39.9[捂脸]合算，买！
55  2025-11-07 15:49:16                阳光的温暖  文字                                                                                            我买了五个，价格真香啊，跟着悟空有肉吃哈哈哈

============================================================
Sheet: 油污净
============================================================
                      0                    1   2                                                                                                               3
0                    时间                  发送人  类型                                                                                                              内容
1   2025-11-08 10:12:06             E佛系的悟空04  文字                                                                                    让我看看是谁还在花好几个小时[旺柴]用钢丝球搓油污的！！
2   2025-11-08 10:12:24             E佛系的悟空04  文字                                                             每次大扫除真的是擦到手腕酸痛，胳膊脱力[苦涩]！！关键是花了这么长🕒时间还擦不干净才真崩溃[抓狂]！！
3   2025-11-08 10:14:07                  一颗糖  文字                                                                                               [叹气]这种油污都是积久的，很难洗
4   2025-11-08 10:14:57                   小松  文字                                                                                         纸巾收到了，超级好用。@E佛系的悟空04 谢谢
5   2025-11-08 10:15:02                  一颗糖  文字                                                                                                          有什么好推荐
6   2025-11-08 10:15:56             佛系的悟空零16  文字                                                                                      @小松 不客气呢姐姐，姐能喜欢就是最好的~~[爱心]
7   2025-11-08 10:16:01                  豆芽儿  文字                                                                                             每次清洁起来费劲[捂脸]但是又不得不做
8   2025-11-08 10:17:49                  洋娃娃  文字                                            应该是绝大多数都是像悟空说的那样的吧，因为每一次在网上买回来的都是智商税，一点用都没有，所以还是只有用钢丝球擦呀[捂脸][捂脸][捂脸]
9   2025-11-08 10:21:00             E佛系的悟空04  文字                                                                                                家里油污重❗❗油污多的看过来❗❗
10  2025-11-08 10:21:18             E佛系的悟空04  文字                                                                                    【小仓熊】油污净💐一喷清新桂花香，杀 菌🦠去 油超简单~
11  2025-11-08 10:22:30                  小刘佳  文字                                                                                               长得还挺好看的，就是不知道好不好用
12  2025-11-08 10:23:29                 荔枝只只  文字                                                                                                             上链接
13  2025-11-08 10:24:32                 星辰大海  文字                                                                                                    刚好要买油污净了[呲牙]
14  2025-11-08 10:26:36             E佛系的悟空04  文字                                                                                                   一抹去 污，它是来真的❗❗
15  2025-11-08 10:26:55             E佛系的悟空04  文字                                                            ✅油烟机、燃气灶、排风扇、墙壁、洗碗槽、厨房\n✅只要一喷立马乳化~[得意]解放双手，轻松去厚重油污❗❗
16  2025-11-08 10:27:27  wxid_p94ipa71qeja22  文字                                                                                                         多少钱，链接呢
17  2025-11-08 10:28:12                    暖  文字                                                                                               快上快上，这个每个人家里都是需要的
18  2025-11-08 10:29:04                   摘星  文字                                                                                               小仓熊不错，好用，就是好贵[傲慢]
19  2025-11-08 10:31:10             E佛系的悟空04  文字  ❤悟空专属  王·炸褔筣❤\n-\n✅【小仓熊】油污清洁剂买💰9.9亓到手2瓶！！\n-\n[烟花]连接：https://c-01.cn/Txj8dp\n-\n🐮去油不用刷，一喷一擦油污无踪，[嘿哈]让你的清洁事半功倍！
20  2025-11-08 10:34:04                   小松  文字                                                                                                              已拍
21  2025-11-08 10:34:54              水汪汪的大眼睛  文字                                                                                                      已拍，太实惠了，谢谢
22  2025-11-08 10:36:19             E佛系的悟空04  文字                                                            🛑还在学习的小伙伴【看上方教程视频👆操作】\n\n🔥消·耗·品有好扴闭眼囤貨！！清洁省心，让家焕然一新🏠
23  2025-11-08 10:39:12  wxid_p94ipa71qeja22  文字                                                                                           跟着悟空买好物，干家务又能轻松点了[呲牙]
24  2025-11-08 10:42:03                 星辰大海  文字                                                                                                        9.9两瓶超实惠
25  2025-11-08 10:45:10  wxid_bac1v3ye3jtk22  文字                                                                                           刚好最近要做家务，厨房油污正头疼呢[偷笑]
26  2025-11-08 10:48:25                 小菜芽🌱  文字                                                                                                    家庭必须品，遇到就要买的
27  2025-11-08 10:51:28                  豆芽儿  文字                                                                                          @佛系的悟空 是不是只能九块九一单呀[皱眉]
28  2025-11-08 10:53:01             E佛系的悟空04  文字                                                  一个桃宝🍑 号只能帕 1単✅多 帕换呺，或者邀 请身边朋友进来帮忙 呛[加油]\n-\n大家不要潜水❗❗噜到记得回 群反 馈
29  2025-11-08 10:53:50                  豆芽儿  文字                                                                                                    好，那我拉我朋友进来也抢
30  2025-11-08 10:57:43                   摘星  文字                                                                                                              已拍
31  2025-11-08 11:03:12                 荔枝只只  文字                                                                             厨房好帮手[嘿哈]我也下单了，多拍了几单，这个价格两瓶也很划算[呲牙]
32  2025-11-08 11:07:37                 夹心饼干  文字                                                                                   小仓熊家一系列都很好用，正想回购呢，悟空就搞来了这个[强]
33  2025-11-08 11:14:18                 茉莉花茶  文字                                                                                                  和家里人一起买了3单[捂脸]
34  2025-11-08 11:16:14                 小菜芽🌱  文字                                                                                                      一喷一擦就干净，方便
35  2025-11-08 11:18:25             E佛系的悟空04  文字                                                                         喷上静置几分钟，轻轻一擦搞定🍳厨房清洁，省时省力[强]轻松让家里✨焕然一新❗❗
36  2025-11-08 11:21:40                  一颗糖  文字                                                                                           我也买了，正好这两天要清洗油烟机，买来试试
37  2025-11-08 11:25:44                  洋娃娃  文字                                                                                                    已拍油污净，厨房清洁必备
38  2025-11-08 11:26:39                  洋娃娃  文字                                                                                    这几天买了很多有用的东西，跟着悟空不踩坑[呲牙][呲牙]
39  2025-11-08 11:27:41  wxid_ftbp7jbv38cz22  文字                                                                                                         这个啥时候再上
40  2025-11-08 11:28:41             佛系的悟空零15  文字                                                              @A👍   🤗静 悟空帮姐姐在留意一下活冻哦，姐添加一下咱大管家，之后有活冻第一时间分.享给姐姐哦~
41  2025-11-08 11:31:30             E佛系的悟空04  文字  ❤悟空专属  王·炸褔筣❤\n-\n✅【小仓熊】油污清洁剂买💰9.9亓到手2瓶！！\n-\n[烟花]连接：https://c-01.cn/Txj8dp\n-\n🐮去油不用刷，一喷一擦油污无踪，[嘿哈]让你的清洁事半功倍！
42  2025-11-08 11:34:08                  小刘佳  文字                                                                                      超值，外面买十几块钱一瓶，悟空这9.9能买2瓶[强]
43  2025-11-08 11:36:57             E佛系的悟空04  文字                                           🛑还在学的小伙伴【看上方教程视频👆操作】\n\n🔥有好扴闭眼囤貨！对厨房的油 污感到头 疼，那就赶紧试试这歀油污净吧！保证你会爱上它的！✨
44  2025-11-08 11:41:37                    暖  文字                                                                                                    太划算了，低价的品质好货
45  2025-11-08 11:48:24                 瑶瑶的瑶  文字                                                                                                    太划算了，低价的品质好货
